X,Y,OBJECTID,ID,STATUS,REASON,ROAD,DESCRIPTION,SUBURB,UPDATETIME,TMR,LOCATION,SOURCE,GlobalID
152.956854268406857,-27.187698656752783,1,BUR_031,Open,Flooded,Callaghan Road,at Little Burpengary Creek,NARANGBA,2020-02-26T05:00:00.000Z,no,Callaghan Road,DWCP,a878cf2d-f76b-496e-b1f2-2ac6cd1681a7
153.053700521683567,-27.034593085617544,2,PUM_017,Open,Flooded,Pumicestone Road,east of Volz Road intersection,TOORBUL,2020-02-26T05:00:00.000Z,no,Pumicestone Road,DWCP,52c17d96-12be-4837-afa1-91c3d91be880
153.046023079091043,-27.100060848308743,3,CAB_068,Open,Flooded,Wallace Road, ,BEACHMERE,2020-02-26T05:00:00.000Z,no,Wallace Road,DWCP,733307c8-1187-4e34-b71f-5533f28f3191
152.917109524081582,-27.121069123114612,4,CAB_074,Open,Flooded,Petersen Road,at Sheepstation Creek,MORAYFIELD,2020-02-26T05:00:00.000Z,no,Petersen Road,DWCP,11fb0d14-b113-4b9d-af19-e7d644110b02
153.01478390008279,-27.202705454411237,5,HAY_026,Open,Flooded,Lipscombe Road,near Boundary Road,DECEPTION BAY,2020-02-26T05:00:00.000Z,no,Lipscombe Road,DWCP,aa15bc6b-761b-462b-a116-6672b7429fd2
152.987958953447361,-27.21425602019616,6,HAY_009,Open,Flooded,Old Gympie Road,near Boundary Road,DAKABIN,2020-02-26T05:00:00.000Z,no,Old Gympie Road,DWCP,c94d5831-f00f-41be-82ec-1938f699313f
153.040153480736365,-27.247334501147918,7,HAY_007,Open,Flooded,Maryvale Road, ,MANGO HILL,2020-02-26T05:00:00.000Z,no,Maryvale Road,DWCP,ae7954ec-c748-4935-9135-ada2bf0bcb09
153.026509421738439,-27.273114506105667,8,LPR_024,Open,Flooded,Dohles Rocks Road,near Cairns Road,GRIFFIN,2020-02-26T05:00:00.000Z,no,Dohles Rocks Road,DWCP,132ca4bd-8581-4595-915b-532e717009e2
152.956623370836127,-27.106785878505516,9,CAB_042,Open,Flooded,Buchanan Road,near Kirkcaldy Street,MORAYFIELD,2020-02-26T05:00:00.000Z,no,Buchanan Road,DWCP,4b225c0e-1f83-48c9-946a-c9dd2e9a8ea6
152.869927756876478,-27.14128633170548,10,CAB_085,Open,Flooded,Moorina Road,near F Lindsay Road,MOORINA,2020-02-26T05:00:00.000Z,no,Moorina Road,DWCP,729ce007-2dee-47d3-b8ad-92b31ff9a0b4
152.886607890667705,-27.081974366039848,11,CAB_061,Open,Flooded,Stern Road, ,BELLMERE,2020-02-26T05:00:00.000Z,no,Stern Road,DWCP,68d0d574-0dc4-4ba1-ad6d-13742d32a9b5
152.781998809930599,-26.920234051306178,12,STA_026,Open,Flooded,Mccabe Road,at Cove Road,STANMORE,2020-02-26T05:00:00.000Z,no,Mccabe Road,DWCP,f06bbed8-71d6-441c-9ece-ee56ea1badc2
152.712236081547047,-26.954731008761648,13,STA_015,Open,Flooded,Neurum Road, ,NEURUM,2020-02-26T05:00:00.000Z,no,Neurum Road,DWCP,6786d3ce-ee77-4ea8-97a7-8ac2b928409e
